run,experiment,data_kind,n,mode,trial,case_id,queries,median_ms,p95_ms,p99_ms,accept_median_ms,accept_cpu_mean_ms,rss_after_MiB,rss_before_MiB,ru_maxrss_MiB_DO_NOT_USE_AS_PHASE_PEAK,memory_limit_MiB,pressure_buffer_MiB,accepted,mean_json_body_bytes,selected_payload_sha256,timing_scope
HPC,local,synthetic,512,ext_rebuild,2,0030-synthetic-n512-ext_rebuild-t2-local,200,0.171989,0.1759732,0.17880072999999994,0.1715215,0.17107214,22.078125,21.703125,141.57421875,0,0.0,200,0,399484347219683dce319075ea78057e1e8ffcce90859b513ec913109fec9398,pre-delivered response acceptance only
HPC,local,synthetic,512,ext_rebuild,3,0034-synthetic-n512-ext_rebuild-t3-local,200,0.172908,0.17762055,0.18560538999999995,0.172363,0.172134875,22.09375,21.77734375,141.57421875,0,0.0,200,0,399484347219683dce319075ea78057e1e8ffcce90859b513ec913109fec9398,pre-delivered response acceptance only
HPC,local,synthetic,512,ext_rebuild,4,0046-synthetic-n512-ext_rebuild-t4-local,200,0.1708395,0.17606415,0.18274515999999993,0.170348,0.17029515,21.98828125,21.98828125,141.57421875,0,0.0,200,0,399484347219683dce319075ea78057e1e8ffcce90859b513ec913109fec9398,pre-delivered response acceptance only
HPC,local,synthetic,512,full,0,0033-synthetic-n512-full-t0-local,200,0.17254799999999998,0.1768194,0.17907955999999997,0.172046,0.17182849,22.1015625,21.7265625,141.57421875,0,0.0,200,0,399484347219683dce319075ea78057e1e8ffcce90859b513ec913109fec9398,pre-delivered response acceptance only
HPC,local,synthetic,512,full,1,0059-synthetic-n512-full-t1-local,200,0.17132750000000002,0.1757303,0.17704689999999992,0.17083199999999998,0.170477615,22.1484375,21.7734375,141.57421875,0,0.0,200,0,399484347219683dce319075ea78057e1e8ffcce90859b513ec913109fec9398,pre-delivered response acceptance only
HPC,local,synthetic,512,full,2,0000-synthetic-n512-full-t2-local,200,0.17458849999999998,0.1948183,0.20252921000000002,0.174078,0.174585305,22.05078125,21.67578125,106.27734375,0,0.0,200,0,399484347219683dce319075ea78057e1e8ffcce90859b513ec913109fec9398,pre-delivered response acceptance only
HPC,local,synthetic,512,full,3,0049-synthetic-n512-full-t3-local,200,0.1714835,0.17514115,0.17733952999999997,0.1709755,0.170485855,22.14453125,21.828125,141.57421875,0,0.0,200,0,399484347219683dce319075ea78057e1e8ffcce90859b513ec913109fec9398,pre-delivered response acceptance only
HPC,local,synthetic,512,full,4,0042-synthetic-n512-full-t4-local,200,0.17279450000000002,0.18224105,0.2002419599999998,0.1722935,0.172884605,22.0859375,21.7109375,141.57421875,0,0.0,200,0,399484347219683dce319075ea78057e1e8ffcce90859b513ec913109fec9398,pre-delivered response acceptance only
HPC,local,synthetic,512,leaf,0,0028-synthetic-n512-leaf-t0-local,200,0.8163210000000001,0.8210709,0.83045046,0.8157509999999999,0.813064545,22.43359375,21.625,141.57421875,0,0.0,200,0,399484347219683dce319075ea78057e1e8ffcce90859b513ec913109fec9398,pre-delivered response acceptance only
HPC,local,synthetic,512,leaf,1,0062-synthetic-n512-leaf-t1-local,200,0.8254295,0.847453,0.8611683199999999,0.8247615,0.824285985,22.53515625,21.78515625,141.57421875,0,0.0,200,0,399484347219683dce319075ea78057e1e8ffcce90859b513ec913109fec9398,pre-delivered response acceptance only
